[2025-08-31T02:05:41.928Z] [INFO] [T+0m] 🚀 Starting S2 — Unkillable Harness (2 Hours, Zero-Leak Cert)
[2025-08-31T02:05:41.931Z] [INFO] [T+0m] 📝 Logging to: s2-logs/s2-harness-2025-08-31T02-05-41-925Z.log
[2025-08-31T02:05:41.932Z] [INFO] [T+0m] 🔧 Setting up workspace plan...
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] ✅ Workspace plan set to pro
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] 🏃 Starting W1: Realistic Runs
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] 🔄 Starting W2: SSE Churn
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] 📦 Starting W3: Registry Pulse
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] 🛡️ Starting W4: Safety Probes
[2025-08-31T02:05:41.958Z] [INFO] [T+0m] 🔒 Starting W5: Privacy Slice
[2025-08-31T02:05:41.958Z] [INFO] [T+0m] 🌪️ Starting W6: Light Chaos
[2025-08-31T02:05:41.958Z] [INFO] [T+0m] 📊 Starting Availability Monitor
[2025-08-31T02:05:41.958Z] [INFO] [T+0m] 📈 Starting Metrics Capture
[2025-08-31T02:05:49.163Z] [ERROR] [T+0m] 🔌 SSE sse-7 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.210Z] [ERROR] [T+0m] 🔌 SSE sse-13 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.350Z] [ERROR] [T+0m] 🔌 SSE sse-8 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.412Z] [ERROR] [T+0m] 🔌 SSE sse-9 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.475Z] [ERROR] [T+0m] 🔌 SSE sse-3 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.521Z] [ERROR] [T+0m] 🔌 SSE sse-19 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.583Z] [ERROR] [T+0m] 🔌 SSE sse-17 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.752Z] [ERROR] [T+0m] 🔌 SSE sse-0 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.891Z] [ERROR] [T+0m] 🔌 SSE sse-14 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:49.983Z] [ERROR] [T+0m] 🔌 SSE sse-1 request error: 404 - {"error":"Run not found"}
