[2025-08-30T13:02:18.356Z] [ERROR] [T+0m] ❌ Availability check error: 
[2025-08-30T13:02:28.351Z] [ERROR] [T+0m] Run 3b77d2d4-64c7-4537-bc45-59ac4cc2ac39 failed: 
[2025-08-30T13:02:34.585Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:02:34.586Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:02:34.586Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:02:34.586Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:02:34.586Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:02:34.587Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:02:34.587Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:02:34.587Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:02:34.587Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:02:34.588Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:02:34.588Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:02:34.588Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:02:34.589Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:02:34.589Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:02:34.589Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:02:34.590Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:02:34.592Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:02:34.593Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:02:34.593Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:02:34.594Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:02:48.363Z] [ERROR] [T+1m] Run 2f24e60b-99a7-442a-a60e-445898b4e7ec failed: 
[2025-08-30T13:02:48.363Z] [ERROR] [T+1m] ❌ Availability check error: 
[2025-08-30T13:03:08.366Z] [ERROR] [T+1m] Run 868526d8-1fc1-48a0-8e74-7186642cfd63 failed: 
[2025-08-30T13:03:18.376Z] [ERROR] [T+1m] ❌ Availability check error: 
[2025-08-30T13:03:22.255Z] [ERROR] [T+1m] SSE sse-0 request error: 
[2025-08-30T13:03:22.255Z] [ERROR] [T+1m] SSE sse-1 request error: 
[2025-08-30T13:03:22.255Z] [ERROR] [T+1m] SSE sse-2 request error: 
[2025-08-30T13:03:22.256Z] [ERROR] [T+1m] SSE sse-4 request error: 
[2025-08-30T13:03:22.256Z] [ERROR] [T+1m] SSE sse-3 request error: 
[2025-08-30T13:03:22.256Z] [ERROR] [T+1m] SSE sse-5 request error: 
[2025-08-30T13:03:22.256Z] [ERROR] [T+1m] SSE sse-8 request error: 
[2025-08-30T13:03:22.256Z] [ERROR] [T+1m] SSE sse-6 request error: 
[2025-08-30T13:03:22.256Z] [ERROR] [T+1m] SSE sse-7 request error: 
[2025-08-30T13:03:22.257Z] [ERROR] [T+1m] SSE sse-9 request error: 
[2025-08-30T13:03:22.257Z] [ERROR] [T+1m] SSE sse-10 request error: 
[2025-08-30T13:03:22.257Z] [ERROR] [T+1m] SSE sse-12 request error: 
[2025-08-30T13:03:22.257Z] [ERROR] [T+1m] SSE sse-11 request error: 
[2025-08-30T13:03:22.257Z] [ERROR] [T+1m] SSE sse-13 request error: 
[2025-08-30T13:03:22.257Z] [ERROR] [T+1m] SSE sse-14 request error: 
[2025-08-30T13:03:22.258Z] [ERROR] [T+1m] SSE sse-15 request error: 
