[2025-08-30T13:08:13.162Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:08:13.162Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:08:13.162Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:08:13.162Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:08:13.162Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:08:13.162Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:08:13.163Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:08:13.163Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:08:13.163Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:08:13.163Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:08:13.163Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:08:13.164Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:08:13.164Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:08:13.164Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:08:13.164Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:08:13.164Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:08:13.164Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:08:18.323Z] [ERROR] [T+1m] ❌ Availability check error: 
[2025-08-30T13:08:18.323Z] [ERROR] [T+1m] Run f43badca-b316-4f04-bcca-eea2a1819a8b failed: 
[2025-08-30T13:08:38.329Z] [ERROR] [T+1m] Run 3ef81e0d-721e-4ba2-a70a-3e8ba933f651 failed: 
[2025-08-30T13:08:48.329Z] [ERROR] [T+1m] ❌ Availability check error: 
[2025-08-30T13:08:58.336Z] [ERROR] [T+1m] Run 3cb6d58c-e295-4f25-9fc3-3e3e637691d5 failed: 
[2025-08-30T13:09:09.708Z] [ERROR] [T+1m] SSE sse-1 request error: 
[2025-08-30T13:09:09.709Z] [ERROR] [T+1m] SSE sse-3 request error: 
[2025-08-30T13:09:09.709Z] [ERROR] [T+1m] SSE sse-0 request error: 
[2025-08-30T13:09:09.709Z] [ERROR] [T+1m] SSE sse-2 request error: 
[2025-08-30T13:09:09.710Z] [ERROR] [T+1m] SSE sse-4 request error: 
[2025-08-30T13:09:09.710Z] [ERROR] [T+1m] SSE sse-5 request error: 
[2025-08-30T13:09:09.710Z] [ERROR] [T+1m] SSE sse-7 request error: 
[2025-08-30T13:09:09.710Z] [ERROR] [T+1m] SSE sse-6 request error: 
[2025-08-30T13:09:09.710Z] [ERROR] [T+1m] SSE sse-8 request error: 
[2025-08-30T13:09:09.711Z] [ERROR] [T+1m] SSE sse-9 request error: 
[2025-08-30T13:09:09.712Z] [ERROR] [T+1m] SSE sse-11 request error: 
[2025-08-30T13:09:09.712Z] [ERROR] [T+1m] SSE sse-10 request error: 
[2025-08-30T13:09:09.712Z] [ERROR] [T+1m] SSE sse-12 request error: 
[2025-08-30T13:09:09.712Z] [ERROR] [T+1m] SSE sse-13 request error: 
[2025-08-30T13:09:09.713Z] [ERROR] [T+1m] SSE sse-14 request error: 
[2025-08-30T13:09:09.713Z] [ERROR] [T+1m] SSE sse-15 request error: 
[2025-08-30T13:09:09.713Z] [ERROR] [T+1m] SSE sse-16 request error: 
[2025-08-30T13:09:09.714Z] [ERROR] [T+1m] SSE sse-17 request error: 
[2025-08-30T13:09:09.715Z] [ERROR] [T+1m] SSE sse-18 request error: 
[2025-08-30T13:09:09.715Z] [ERROR] [T+1m] SSE sse-19 request error: 
[2025-08-30T13:09:18.341Z] [ERROR] [T+2m] ❌ Availability check error: 
[2025-08-30T13:09:18.341Z] [ERROR] [T+2m] Run 0ca913d2-fb6d-4e6c-8ccc-fa1cdca6c675 failed: 
[2025-08-30T13:09:38.352Z] [ERROR] [T+2m] Run 5a0bfc91-4d8a-42ce-a8de-db325937f602 failed: 
[2025-08-30T13:09:48.347Z] [ERROR] [T+2m] ❌ Availability check error: 
[2025-08-30T13:09:58.358Z] [ERROR] [T+2m] Run c8f1daa1-03e3-4339-b44e-91f6191918fb failed: 
